type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/toIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value,tokenTransfer/4/index,tokenTransfer/4/token,tokenTransfer/4/tokenAddr,tokenTransfer/4/tokenSymbol,tokenTransfer/4/tokenDecimals,tokenTransfer/4/tokenInfo/h,tokenTransfer/4/tokenInfo/f,tokenTransfer/4/tokenInfo/s,tokenTransfer/4/tokenInfo/d,tokenTransfer/4/from,tokenTransfer/4/to,tokenTransfer/4/value,traceErr,receiptErr,tokenTransfer/2/tokenInfo/c,tokenTransfer/2/valueIsNft,callTransfer/1/toIsContract,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/toIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,callTransfer/3/index,callTransfer/3/fromIsContract,callTransfer/3/from,callTransfer/3/to,callTransfer/3/value,callTransfer/3/gasUsed,callTransfer/3/gasLimit,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,0,1628512799,0x641134065f652dce19d17a2b363015ffe69101d951b21399708812888b28ebfd,0.006054433,523,0xe815c19abef49d1a6cee179a0d03dcd950448269,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,43955,1,61000000000,450000,0,99253,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xe815c19abef49d1a6cee179a0d03dcd950448269,0x6463bd6026a2e7bfab5851b62969a92f7cca0eb6,2032805222853724630,0,0x584bc13c7d411c00c01a62e8019472de68768430,0x584bc13c7d411c00c01a62e8019472de68768430,HEGIC,18,0x584bc13c7d411c00c01a62e8019472de68768430,Hegic,HEGIC,18,0x6463bd6026a2e7bfab5851b62969a92f7cca0eb6,0x6aca1cb651fb9d1a207b2a279ced05480185aa52,44999999999999997902848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,1,1628512799,0xdc319e3511f8b80b9aa98c2230f2e0924a5aef4ed1e0e697f036ca2fe674113e,0.0060320079,523,0x2e3381202988d535e8185e7089f633f7c9998e83,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,122463,1,51300000000,177581,0,117583,1,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTX Token,18,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTT,FTX Token,18,0x2e3381202988d535e8185e7089f633f7c9998e83,0xf04543fbf20daee9b0357db966428ef2a4ae0f5a,117393434260000000000,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0xf04543fbf20daee9b0357db966428ef2a4ae0f5a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1756239855460819245,1,1,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.756239855460819245,83,2300,1,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2e3381202988d535e8185e7089f633f7c9998e83,1.756239855460819245,0,37163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,10,1628512799,0x4ae0347d592c02340044bf85b52cef09b7db098c9fcaad232a1b892c67aee53b,0.001386,523,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x0576bda58ee2385e88bd9ff684a166d363b2a279,744641,,66000000000,207128,0.52667929,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,11,1628512799,0xc5627b626931aa5fd29b852759cd0aab353b56fd27c912f20d4275321ff73848,0.001386,523,0x8315801956da539e7d3d58d30c0d4232c835325b,0x6388dd961cdbef8c22e3f72534367ba202b00631,50,,66000000000,21000,0.07,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,12,1628512799,0x28c07e3b116226d9e7162c5064b249170aea13004eb3036fd68d63234a3f0974,0.004171002,523,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,896908,1,66000000000,207128,0,63197,12,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x072f47258990f51dce0d3a775af16244759579c4,1000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,13,1628512799,0x14e5967a5053ebc50a5607f1e347d11e8494cca5ddb6512a3b2b6fe73bb4a94a,0.00116981463186,523,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,0xbdcd25cf0ed1fcfab165aef627d0eb9be29f0035,124947,,55705458660,60000,0.0985131,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,14,1628512799,0xff0c9919fd24df1035acbdfd0881a83ac9a970499b2726797776e34700256ea3,0.002476053377324793,523,0x52393b41b1ffe686671f81db33a80f4af2d1750f,0xdac17f958d2ee523a2206206994597c13d831ec7,0,1,53700001677,46109,0,46109,14,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x52393b41b1ffe686671f81db33a80f4af2d1750f,0x112934a8ae78a0212fac317a723d5b21de4d5b83,187000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,15,1628512799,0x54be07b648b3b1459eb41580dc18d43616f6229a97431ffebad171f7fdbffe17,0.0027424467,523,0x814c0c2824a575ed69d476ea00074bb50ab780ca,0x860bd2dba9cd475a61e6d1b45e16c365f6d78f66,88545,1,51300000000,397857,0,53459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,16,1628512799,0x27c9275449f962bd929d003cfa932240c76180cb89b8ebad0ee984938924bab9,0.0020408679,523,0x4f2cdf8c84571d760519289d6d0714faf1f68f62,0xd7c09e006a2891880331b0f6224071c1e890a98a,2369,1,51300000000,247309,0,39783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,17,1628512799,0x5967ba07707cd9ebda7d7ffe574992610ba023f4daf3791860982d3bb1a3a122,0.0026971488,523,0x09f4de4db8b52e666e03b22d9e3785181dec85d5,0x90d57c386e6403bf3473a1001d248d43eb85f84d,8339,1,51300000000,1200000,0,52576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
