type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/toIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/toIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/toIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,traceErr,receiptErr,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,0,1628512863,0x3ca1c6d0fc220029baef74b135abc96da42d21b26fa0cc875530b7a47a6bdbac,0.055818354995761306,609,0x305bf59bbd7a89ca9ce4d460b0efb54266d9e6c3,0x4d246be90c2f36730bb853ad41d0a189061192d3,25779,1,312774456163,900000,0,178462,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x0cfbed8f2248d2735203f602be0cae5a3131ec68,0x4d246be90c2f36730bb853ad41d0a189061192d3,13016866594833093523,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,SLP,0,0x4d246be90c2f36730bb853ad41d0a189061192d3,0x0cfbed8f2248d2735203f602be0cae5a3131ec68,199837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,1,1628512863,0xcd6a6c5ce36600d77453e38f6c4f64ca3217a4e594dec6546fcdc17c89d6b181,0.000783301610469,609,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x7e464e89e26c1f9238009d9789533db188fb2f68,36640488,,37300076689,250000,0.021344036914688822,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,10,1628512863,0x5863389faf5f16962720e35e76e762657781541973162aec16a547f24aef71a6,0.002948895,609,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x25f8087ead173b73d6e8b84329989a8eea16cf73,1807775,1,57000000000,420000,0,51735,10,0x25f8087ead173b73d6e8b84329989a8eea16cf73,0x25f8087ead173b73d6e8b84329989a8eea16cf73,YGG,18,0x25f8087ead173b73d6e8b84329989a8eea16cf73,Yield Guild Games Token,YGG,18,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0xd6fc210686d22d0f2e9303700a9e44bc6527b105,8304593000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,11,1628512863,0x0c1c09684dbf8a3d91ca89fa6ddbfeb124070e4b2cfc22c535849922c5c7b87d,0.00340568755256068,609,0x48210514dc5b1e40faa3f395bc4c246e1b3176d3,0xdac17f958d2ee523a2206206994597c13d831ec7,57793,1,53879788520,80000,0,63209,11,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x48210514dc5b1e40faa3f395bc4c246e1b3176d3,0xc0e23a45e2b6677b4849cde8842883912d79ccfe,122190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,12,1628512863,0x0c74b4f1f01243905c18aa80bcea793e333bcb7236695064c2a1e7629e96c6a9,0.003175132288,609,0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,0xff44b937788215eca197baaf9af69dbdc214aa04,99067,1,50062000000,91417,0,63424,12,0xff44b937788215eca197baaf9af69dbdc214aa04,0xff44b937788215eca197baaf9af69dbdc214aa04,ROCKI,18,0xff44b937788215eca197baaf9af69dbdc214aa04,ROCKI,ROCKI,18,0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,0xd344af8d1273291e6265c19ee838f0a70e288c7d,1946370000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,13,1628512863,0xfce2456f5f47b1c792d0200b7f3ffbc01b6640f8ecb52c8ca7e50a0281efbff3,0.001009845526557,609,0x86d3e894b5cdb6a80afffd35ed348868fb98dd3f,0x20ce0ac32cf796242a8b15ec4486b02912e3de84,61163,,48087882217,100000,0.035146132083999996,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,14,1628512863,0x5c882aa0d8a68f80f692e1ed23fb99ff52f644b69644679534071b27e22eba53,0.001333575,609,0x26e295e3cb00ac6213ba52c5cf7dd718e8c37c29,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,4,1,45000000000,68870,0,29635,14,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,SLP,0,0x26e295e3cb00ac6213ba52c5cf7dd718e8c37c29,0x28c6c06298d514db089934071355e5743bf21d60,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,15,1628512863,0xd49578aa014557a702f8af99b9f1da444ffcd66f86cfeb23fa9fb28809fe010e,0.006595371122654464,609,0x89f02dd2502a32bbc2a703d6a4a8385a750f7e2c,0x881d40237659c251811cec9c364ef91dc08d300c,0,1,44741073472,205093,0.087,147412,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0x74de5d4fcbf63e00296fd95d33236b9794016631,87000000000000000,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x89f02dd2502a32bbc2a703d6a4a8385a750f7e2c,87000000000000000,15,1,1,0x881d40237659c251811cec9c364ef91dc08d300c,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.087,128449,148764,15,1,1,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0.087,80985,125509,15,1,1,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.087,23974,86692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,16,1628512863,0x61ae75f1f5e3a1d3b46ee9511ee7521b6ce97804b4ee9022879980bc1f5805ec,0.000932426210793,609,0x9de0dd5131e17d0e24ae5d375e9dbc9aa71b568c,0xb642cf72a67d662b59960b0b9fa0ccb6e768e2f1,27,,44401248133,21000,0.114040036912730195,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990987,12990987,0xc4767a85d4b478e7471fe7ae3746ef34f06a6f6e3a705386670b4f22e6697a4f,17,1628512863,0x88b7b43e4072b403b368162df43a39ccb0ff95892e4a80a378fe7c9866755afe,0.002807091308216393,609,0x0e5568e2122526cc793cc0007246ae6a4631b3d8,0xdac17f958d2ee523a2206206994597c13d831ec7,43,1,44401248133,75865,0,63221,17,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x0e5568e2122526cc793cc0007246ae6a4631b3d8,0xe7900f90eb2fdda8a5555e8ee2ed4571cb06cef8,12458968094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
