type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,callTransfer/0/toIsContract,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/toIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,callTransfer/3/index,callTransfer/3/fromIsContract,callTransfer/3/from,callTransfer/3/to,callTransfer/3/value,callTransfer/3/gasUsed,callTransfer/3/gasLimit,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft,traceErr,receiptErr,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,0,1628512865,0x6be4a11e405205d2e6ddf0affd34c6222069ba0bfd70ba82ae076f394aea38e4,0.005546904,613,0x03cf2fd02edcf3875f7d59328efc87c00f3da244,0x63c880aab2e8aad1a571d38a70a79b6c4729c468,139757,1,66000000000,150000,0,84044,0,1,0x63c880aab2e8aad1a571d38a70a79b6c4729c468,0x36fa2597d30d0ee7add36f9ca64ad17770a130b6,0.299,0,45848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,1,1628512865,0xc9ce54f394e6bb6d9c39035409e37c91efdf8c29949bccdd13ce7c8286f9b50f,0.005544792,613,0x03cf2fd02edcf3875f7d59328efc87c00f3da244,0x63c880aab2e8aad1a571d38a70a79b6c4729c468,139758,1,66000000000,150000,0,84012,1,1,0x63c880aab2e8aad1a571d38a70a79b6c4729c468,0xc7b69419e6a04a0d825e78b98b17cfe5a2c3a0c5,0.0024,0,45880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,10,1628512865,0xde5559b4cd4b2c68ee4162a3b999f4c5563ef0fd26d37547296edd4a64c129e8,0.000882,613,0x422431af5644eb62e300ca49a5fd8f45f098ad22,0x0843e842d5a2ad9002c97c30de433ca905078483,46971,,42000000000,21000,0.01082225,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,11,1628512865,0x6d82bd6da406344275fc060210da4168b1557e89f053190647e452930c812bb1,0.00275625,613,0x503828976d22510aad0201ac7ec88293211d23da,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,458039,1,42000000000,250000,0,65625,,,,,,,,11,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x503828976d22510aad0201ac7ec88293211d23da,0x33d43de4185ad5e810a1779cfbc7ba3a4cfc9fc6,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,12,1628512865,0xf526a540bbf50e04b9031b93939a2e176e3fd003c7e6b1ee7159b7efe21c8212,0.001890469071976149,613,0x2e13bd23bcbee5fa4799a5959c9d3ac760fec947,0xdac17f958d2ee523a2206206994597c13d831ec7,2,1,41000001561,50719,0,46109,,,,,,,,12,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x2e13bd23bcbee5fa4799a5959c9d3ac760fec947,0x5213383adf6b497ead72778b156066bd692cc584,81640000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,13,1628512865,0x4a813cf510ad427f1a85f654aa40d9a9ab24ae118de3694c2fe4174e00204526,0.001846558,613,0xfd7401b6ac811de63567ddffb83c5bcff0e22e55,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,30,1,41000000000,45038,2.5,45038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,14,1628512865,0xbaa0d7c485a37672ff2109c72f1be325ceafba30e9812ad856a38a5c478a7eac,0.00708088,613,0x1cd0f98ec838f7678acf8acf2ae50e679517f537,0x881d40237659c251811cec9c364ef91dc08d300c,190,1,40000000000,235514,0,177022,14,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x11111112542d85b3ef69ae05771c2dccff4faa26,0.027678194768515771,79,2300,14,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BAO,18,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BaoToken,BAO,18,0x1cd0f98ec838f7678acf8acf2ae50e679517f537,0x74de5d4fcbf63e00296fd95d33236b9794016631,100658202332905789723796,1,14,1,1,0x11111112542d85b3ef69ae05771c2dccff4faa26,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.027678194768515771,40,38825,14,1,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,0.000242184204224512,0,30998,14,1,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1cd0f98ec838f7678acf8acf2ae50e679517f537,0.027436010564291259,0,22723,14,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BAO,18,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,BaoToken,BAO,18,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x9973bb0fe5f8df5de730776df09e946c74254fb3,100658202332905789723796,14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x9973bb0fe5f8df5de730776df09e946c74254fb3,0x11111112542d85b3ef69ae05771c2dccff4faa26,27678194768515771,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,15,1628512865,0xc3fbd83be926f8eeb073de84f1875f6a63509e30318ef91a616488b324847c29,0.00734884,613,0x73911cb5d33296fed63b9cd8fb0809b7c1c28099,0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,98,1,40000000000,275581,0,183721,,,,,,,,15,0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,Yats,0,0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,Yat NFT,Yats,0,0x0000000000000000000000000000000000000000,0x73911cb5d33296fed63b9cd8fb0809b7c1c28099,2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RC721,1,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,16,1628512865,0xc17010695cfbf461f515dc6da421a259683634ddfd29bfb621335d7ed3a03cfa,0.00084,613,0xb5faa403aae67af96af1bed9253165b62ca44e1e,0x0bbe0ad37124796d0d8788b7dfa20ac7611d01be,1,,40000000000,21000,2.977215524590799275,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990988,12990988,0x509320fbb29106d7d8ca71fa9f6e5111f97791bd44e5132f4abec1554c9e4e0c,17,1628512865,0x11eedfbb0aab58fdcf3d91fd49df491993d07a34ee52e881905dad968b6ba75b,0.00819092,613,0xd2d9447840bce9316c50a19b7e0de74a1d1f038a,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,29,1,40000000000,257458,0,204773,,,,,,,,17,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,SLP,0,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xd2d9447840bce9316c50a19b7e0de74a1d1f038a,6872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
