type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/toIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/toIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/toIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value,tokenTransfer/4/index,tokenTransfer/4/token,tokenTransfer/4/tokenAddr,tokenTransfer/4/tokenSymbol,tokenTransfer/4/tokenDecimals,tokenTransfer/4/tokenInfo/h,tokenTransfer/4/tokenInfo/f,tokenTransfer/4/tokenInfo/s,tokenTransfer/4/tokenInfo/d,tokenTransfer/4/from,tokenTransfer/4/to,tokenTransfer/4/value,tokenTransfer/5/index,tokenTransfer/5/token,tokenTransfer/5/tokenAddr,tokenTransfer/5/tokenSymbol,tokenTransfer/5/tokenDecimals,tokenTransfer/5/tokenInfo/h,tokenTransfer/5/tokenInfo/f,tokenTransfer/5/tokenInfo/s,tokenTransfer/5/tokenInfo/d,tokenTransfer/5/from,tokenTransfer/5/to,tokenTransfer/5/value,tokenTransfer/6/index,tokenTransfer/6/token,tokenTransfer/6/tokenAddr,tokenTransfer/6/tokenSymbol,tokenTransfer/6/tokenDecimals,tokenTransfer/6/tokenInfo/h,tokenTransfer/6/tokenInfo/f,tokenTransfer/6/tokenInfo/s,tokenTransfer/6/tokenInfo/d,tokenTransfer/6/from,tokenTransfer/6/to,tokenTransfer/6/value,tokenTransfer/7/index,tokenTransfer/7/token,tokenTransfer/7/tokenAddr,tokenTransfer/7/tokenSymbol,tokenTransfer/7/tokenDecimals,tokenTransfer/7/tokenInfo/h,tokenTransfer/7/tokenInfo/f,tokenTransfer/7/tokenInfo/s,tokenTransfer/7/tokenInfo/d,tokenTransfer/7/from,tokenTransfer/7/to,tokenTransfer/7/value,tokenTransfer/8/index,tokenTransfer/8/token,tokenTransfer/8/tokenAddr,tokenTransfer/8/tokenSymbol,tokenTransfer/8/tokenDecimals,tokenTransfer/8/tokenInfo/h,tokenTransfer/8/tokenInfo/f,tokenTransfer/8/tokenInfo/s,tokenTransfer/8/tokenInfo/d,tokenTransfer/8/from,tokenTransfer/8/to,tokenTransfer/8/value,tokenTransfer/9/index,tokenTransfer/9/token,tokenTransfer/9/tokenAddr,tokenTransfer/9/tokenSymbol,tokenTransfer/9/tokenDecimals,tokenTransfer/9/tokenInfo/h,tokenTransfer/9/tokenInfo/f,tokenTransfer/9/tokenInfo/s,tokenTransfer/9/tokenInfo/d,tokenTransfer/9/from,tokenTransfer/9/to,tokenTransfer/9/value,tokenTransfer/10/index,tokenTransfer/10/token,tokenTransfer/10/tokenAddr,tokenTransfer/10/tokenSymbol,tokenTransfer/10/tokenDecimals,tokenTransfer/10/tokenInfo/h,tokenTransfer/10/tokenInfo/f,tokenTransfer/10/tokenInfo/s,tokenTransfer/10/tokenInfo/d,tokenTransfer/10/from,tokenTransfer/10/to,tokenTransfer/10/value,traceErr,receiptErr,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,0,1628512644,0x44180d6b3cc4cc7c7daa8981c35dffafd5456c05557f697d6416bae4293f8683,0.00286593926711508,186,0x38563699560e4512c7574c8cc5cf89fd43923bca,0x000000000035b5e5ad9019092c665357240f594e,11104,1,32510229336,2000000,0,88155,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x000000000035b5e5ad9019092c665357240f594e,0xb13201b48b1e61593df055576964d0b3aab66ea3,3099176025390625000,0,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,LQTY,18,0xb13201b48b1e61593df055576964d0b3aab66ea3,0x000000000035b5e5ad9019092c665357240f594e,1182872139177542186888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,1,1628512644,0xea7994846f2cc48e0c14049faa55ab9ae1290e2b633c7e371cc2e76a63180227,0.021417042,186,0x1e90e7404c8ca3333d86bc81d586449a99a5791a,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,294,1,34000000000,840390,0,629913,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x1e90e7404c8ca3333d86bc81d586449a99a5791a,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,21000000000,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0x23d1b2755d6c243dfa9dd06624f1686b9c9e13eb,5880000000,1,1,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,4.85051670183436464,55,2300,1,1,1,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.917717759987061789,21974,292679,1,1,1,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3.932798941847302851,21974,212237,1,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,18,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Bancor Network Token,BNT,18,0x23d1b2755d6c243dfa9dd06624f1686b9c9e13eb,0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,1483032939800535269542,1,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,LQTY,18,0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,779982167893191568588,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,4850516701834364640,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,15120000000,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xb13201b48b1e61593df055576964d0b3aab66ea3,917717759987061789,1,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,LQTY,18,0xb13201b48b1e61593df055576964d0b3aab66ea3,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,299047138979994503588,1,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,LQTY,18,0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,1623844125838273754796,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,3932798941847302851,1,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,18,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,LQTY,LQTY,18,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0x1e90e7404c8ca3333d86bc81d586449a99a5791a,2702873432711459826972,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,10,1628512644,0xc739a3849c7d67d65f53d12f2d071db2dde828a5eb5bdabbe03af4d9d7538122,0.000682714816056,186,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x344b1022036bc6163224dbbeb329c5c1b4aa6670,36640479,,32510229336,250000,0.012519502221882979,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,11,1628512644,0x3828a888083d3ead1a24c30653d0697b6da197cc3d6de1426efda40ec3936c17,0.000682714816056,186,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0xa251818841c3ebe5b00aacfe6c780223d83ebbc8,36640480,,32510229336,250000,0.057645965968466549,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,12,1628512644,0xbd9990ca099ecb48b33cc52e555deffd3b8c2969946926611352b7999ffa028a,0.000682714816056,186,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x033ea9f2ebdf6d57f47fbfa00997813eb7bb7a34,36640481,,32510229336,250000,0.018639783141957072,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,13,1628512644,0xdcfb3698722c392d54f81f82e25312394318f505eef42a46c6e90f907c3a10e0,0.000682714816056,186,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x96d9c363e30d79053449774f454d91566a767097,36640482,,32510229336,250000,0.049162748134030941,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,14,1628512644,0xf81e1956cf8bd46d3175217624b53089600d9c0e275b363128de985977ffa18d,0.0130652,186,0xe7fc342dd42ac6043d90ed12a1d4bb139579ca64,0xbbd900e05b4af2124390d206f70bc4e583b1be85,1203,1,200000000000,200000,0,65326,14,0xbbd900e05b4af2124390d206f70bc4e583b1be85,0xbbd900e05b4af2124390d206f70bc4e583b1be85,MINTYS,9,0xbbd900e05b4af2124390d206f70bc4e583b1be85,MintySwap,MINTYS,9,0xe7fc342dd42ac6043d90ed12a1d4bb139579ca64,0x97f9759806f04e0202b50744c7cb1cbb84f93e30,36500000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,15,1628512644,0x4959414b572321b164b69967b6b44a03098fd38eac7fc5dc0669b43387025ca0,0.001683789767625,186,0xb1480c3a77ae27fe7d0179b0ecd76f786838caf1,0x18e7055681058820b8f2193e7628e9da68bdc32f,4265,,80180465125,21000,0.1216258,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,16,1628512644,0x1f09cb3956221b5c65b8be08b0e3d38cd8c76be4252db43c8f5e3a4947d8dd84,0.003446127,186,0x36e3bea9e362124bc92e5d445bdcdcdcb4397a55,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1138,1,71000000000,105000,0,48537,16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x36e3bea9e362124bc92e5d445bdcdcdcb4397a55,0x5041ed759dd4afc3a72b8192c143f72f4724081a,4543960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990973,12990973,0x70c11c5be894aac76d0d9161ed1e9693e2d1042a29cdfe7542e07aef0d1ab2d6,17,1628512644,0xec1ba2551a23b9928b61445e57c68fd4cc10041bcb338349acd2ccea59ee39dc,0.003300516,186,0x36e3bea9e362124bc92e5d445bdcdcdcb4397a55,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1139,1,68000000000,105000,0,48537,17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x36e3bea9e362124bc92e5d445bdcdcdcb4397a55,0x5041ed759dd4afc3a72b8192c143f72f4724081a,4543960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
