type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,gasPrice,gasLimit,value,gasUsed,toIsContract,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/toIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,create,callTransfer/0/create
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,0,1628512671,0x5d991a74a3fb4d139c9a22fa6a5633876ae4fcece8eafefae8d5187131bfb3cc,0.001386,255,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x997e576f2b596dde3facf045330fa64db7011aae,744620,66000000000,207128,0.99683866,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,1,1628512671,0x3aa0e688a0a3cc6d1476b91d65bbbcdd700bcb4346f7dd85a046c987337d2fbb,0.001386,255,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0x2336d5c7a49a267c0dcb919ab41bfe78c8a42883,768001,66000000000,207128,0.0226,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,10,1628512671,0x07ab59538cc79d0124b6eeda29009e5a5b216483803c68f0d92f65787dbde05a,0.000861,255,0xa4e5961b58dbe487639929643dcb1dc3848daf5e,0xaab705b39923a8cdf076e75067c578de9067bb74,459068,41000000000,21000,0.00459742,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,11,1628512671,0x833a4edc46afbb429ad46ecf6529f46ab1a7df59e2e66292842ff986795dc4fd,0.002137553600671548,255,0xfbe89ff48cc321e583bdb945a809598d161409e0,0x8b3870df408ff4d7c3a26df852d41034eda11d81,518,40548478653,63000,0,52716,1,11,0x8b3870df408ff4d7c3a26df852d41034eda11d81,0x8b3870df408ff4d7c3a26df852d41034eda11d81,IOI,6,0x8b3870df408ff4d7c3a26df852d41034eda11d81,IOI Token ,IOI,6,0xfbe89ff48cc321e583bdb945a809598d161409e0,0xfd2969b883ae0b6543fa62b8dee80f509e571899,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,12,1628512671,0x908168dc7c8a89c355581ca840535858e01ca10216351b88db149fd260bb2911,0.00252884,255,0x59a5208b32e627891c389ebafc644145224006e8,0xdac17f958d2ee523a2206206994597c13d831ec7,1690320,40000000000,101153,0,63221,1,12,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x59a5208b32e627891c389ebafc644145224006e8,0x587d5f512cbeac5777716be8eeb6b4cd1b2a35fc,45980278000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,13,1628512671,0xba2fee766caa32194f58bebdde1e425c74da4bcdbbd5e61a10d7fd620e888f92,0.00720254315394,255,0xa1413fba516b10aa4d5723506985ff06c951a406,0x76984c4700be8815f73c424b9a1033edae1be113,177,38924460000,285039,0,185039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,14,1628512671,0x96dd36c57536e166aa8764bb00e16c50c8ac1043ca52295279057728d6fccb78,0.000814807090377,255,0xc6c72ea553bcbf136488d39711aff556d0c2429f,0xecb846c0118276b710c31dd596e04dbcf86473cf,512,38800337637,21000,0.014407787421239869,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,15,1628512671,0x15723518803730dc1ddb01e709ca9921fa5bd9139b34ca091def9000ac7d5b31,0.002858132,255,0x27a0660fb6d599482b96ed7ddf97b5265710d6fa,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,537,38000000000,75214,0,75214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,16,1628512671,0xb6782b9dc707976b93c18f2aa7c39d838b66fa3f79033a9efae10af4f4595d0d,0.004623394979662055,255,0xcf4222d4b19c03cf42e8f867477e88e534711975,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1046,37169438765,600000,0,124387,1,16,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0xcf4222d4b19c03cf42e8f867477e88e534711975,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1094689672,16,1,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.349960381890274164,83,2300,16,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xcf4222d4b19c03cf42e8f867477e88e534711975,0.349960381890274164,0,446284,16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,349960381890274164,,,,,,,,,,,,,,,,
tx,ETH,12990975,12990975,0xd75daddcea7ca1e64c929901bdccf38cbf72301636a1029b68c902e0fbaf4957,17,1628512671,0xa6f450c73264fb886797b530ed0bdb739f315e94153f1fedf0720f176a623bfb,0.000780558214065,255,0x7d05562526fb27658cd7585b30d4058c1f841f18,0xf5ff021ba50f5c4e3dbf819db978d3e73bc20e08,54,37169438765,21000,0.0066,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
