type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft,traceErr,receiptErr,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,0,1628512695,0x507d1ba35d3ddd5cbdf7830aea88f859f0b0f436d517c0f2d7f2404f117fe205,0.007752347,297,0xa06b25f5b7b455f0d6dce7c165f2e8b817e2f993,0x294e453c3f5758e562aa13c76ec376c70c0bdbad,607,1,35161544026,450000,0,220478,0,1,0x294e453c3f5758e562aa13c76ec376c70c0bdbad,0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,0.002318998,0,2300,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x283e2e83b7f3e297c4b7c02114ab0196b001a109,0x294e453c3f5758e562aa13c76ec376c70c0bdbad,1.20721E+18,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x294e453c3f5758e562aa13c76ec376c70c0bdbad,0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,1.19615E+18,0,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,ALBT,18,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,AllianceBlock Token,ALBT,18,0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,0x18a5c094d811e1ef9116fa0bbc5cd23a70cfcddd,6.2125E+21,0,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,OCEAN,18,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,Ocean Token,OCEAN,18,0x18a5c094d811e1ef9116fa0bbc5cd23a70cfcddd,0x283e2e83b7f3e297c4b7c02114ab0196b001a109,6.53313E+21,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,1,1628512695,0x66c69492cd9294f070be3305b4f9a18822e59093a07de8433bccee23a5664a1e,0.008193695,297,0x1c863a2ce15502c2414e9d0a5963dc767be2fac8,0x911605012f87a3017322c81fcb4c90ada7c09116,1164,1,35161544026,339756,3.32E-15,233030,1,1,0x911605012f87a3017322c81fcb4c90ada7c09116,0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,0.000912595,0,102363,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x911605012f87a3017322c81fcb4c90ada7c09116,6.17713E+17,1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0xa0cf710f25e413c1e9c76ed6b7953b5d87b324bb,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,1925479725,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x911605012f87a3017322c81fcb4c90ada7c09116,0x80b4d4e9d88d9f78198c56c5a27f3bacb9a685c5,6.07649E+17,1,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,TRU,18,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,Truebit,TRU,18,0x80b4d4e9d88d9f78198c56c5a27f3bacb9a685c5,0xa0cf710f25e413c1e9c76ed6b7953b5d87b324bb,6.19656E+21,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,10,1628512695,0x69d434e9394869465499b485b976950441c7ae8a531770c696805fe0baa9f9d0,0.001782249,297,0xb1480c3a77ae27fe7d0179b0ecd76f786838caf1,0x3fdc64653199bed5f75a0e2770be197f353acbdb,4266,,84869005890,21000,0.12150237,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,11,1628512695,0x2bdec4cb176c39d81cda5ca0725acc443ccdcb0a877e4471d68f97638d7a894d,0.003461298,297,0xef645da1ae472a719b973f3aaa20789d0152167f,0xdac17f958d2ee523a2206206994597c13d831ec7,9,1,83790398878,80000,0,41309,,,,,,,,11,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0xef645da1ae472a719b973f3aaa20789d0152167f,0xb02f1329d6a6acef07a763258f8509c2847a0a3e,121841024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,12,1628512695,0x02926fea7193aed6d6d920a26852d1f8ebab3785d7856892b766bc39fb808f8e,0.003408984,297,0xf750e6c58aee1862eaf73e5ad60c1d53132497f1,0xdac17f958d2ee523a2206206994597c13d831ec7,24,1,82523991107,80000,0,41309,,,,,,,,12,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0xf750e6c58aee1862eaf73e5ad60c1d53132497f1,0xb02f1329d6a6acef07a763258f8509c2847a0a3e,489000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,13,1628512695,0x6550665f47dec473e6db792c14117932e2d0677a6d8977c559cd785a8abd7a19,0.00505672,297,0x01fe05e4890a2e5e556a6bb9a0d7642db6a76c1c,0xdac17f958d2ee523a2206206994597c13d831ec7,1341,1,80000000000,75000,0,63209,,,,,,,,13,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x01fe05e4890a2e5e556a6bb9a0d7642db6a76c1c,0xbbfcedefcc5e56282fc86f255738291ef7a6da81,3.15E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,14,1628512695,0x3c9096d70f601b0fdca1fcafe7f499d4b70799e090a73110c498ecff04c98b1b,0.003135412,297,0x28ec0f3f849843f42839d5997b43d9f437181ce4,0xdac17f958d2ee523a2206206994597c13d831ec7,1036,1,68000001561,50719,0,46109,,,,,,,,14,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x28ec0f3f849843f42839d5997b43d9f437181ce4,0x87c6a682cf58dc586540a855caf57d5e925a84c6,4874720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,15,1628512695,0x3d96b4be3013763b95b0e8761bf7994bbdc7d10cb388012c7a4d2511e1fdccdf,0.004550924,297,0x31dff0cf605f9719b9171f6049150595cc1240f1,0xb4272071ecadd69d933adcd19ca99fe80664fc08,4652,1,62000000000,88082,0,73402,,,,,,,,15,0xb4272071ecadd69d933adcd19ca99fe80664fc08,0xb4272071ecadd69d933adcd19ca99fe80664fc08,XCHF,18,0xb4272071ecadd69d933adcd19ca99fe80664fc08,CryptoFranc,XCHF,18,0x31dff0cf605f9719b9171f6049150595cc1240f1,0x952a9e7b60075ab273e665aae4897b0c83776df7,2E+22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,16,1628512695,0xfca87b42d9e16702c87e95595de1a28382b0b434bfbe7953eceba7c3e19d5cd8,0.013008,297,0x78a622d8e6fd0fb9c7ada77b6bfb83bf84a2876a,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,781,1,60000000000,228807,0.12,216800,16,1,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0.012,0,2300,16,0x5e34dacda29837f2f220d3d1aeaaabd1edca5bd1,0x5e34dacda29837f2f220d3d1aeaaabd1edca5bd1,SPOOK,0,0x5e34dacda29837f2f220d3d1aeaaabd1edca5bd1,Spookies,SPOOK,0,0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,0x78a622d8e6fd0fb9c7ada77b6bfb83bf84a2876a,8861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0x8efef6b061bda1a1712db316e059cbc8ebdcae4d,0.108,0,2300,RC721,1,,,,,
tx,ETH,12990977,12990977,0xba9a76aa690401fa86507284f3d435ec68d864060fe33b3730ec4f52fcc2bbec,17,1628512695,0xcef6a6e604a650b6cc68a3fcc6023f576c11bf86b0e6e0e14fd9aeb723f0e0f8,0.003817483,297,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,0x1522900b6dafac587d499a862861c0869be6e428,1224653,1,55048211406,500000,0,69348,,,,,,,,17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0xdf519c225da0c75d4376cf1461d7bf7a219c3523,0x1522900b6dafac587d499a862861c0869be6e428,698043700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
